x,y,z
0.0,-0.0,0.0
-12.504852,14.945374,0.0
-22.124939,32.45822,0.0
-27.25946,51.645355,0.0
-29.618286,71.43805,0.0
-30.697174,91.397644,0.0
-31.0,111.378235,0.0
-31.0,131.367,0.0
-31.0,151.35576,0.0
-29.021423,171.22432,0.0
-26.601685,191.06609,0.0
-20.2818,209.88708,0.0
-12.671082,228.37025,0.0
-3.472168,246.10814,0.0
8.292999,262.23972,0.0
24.796082,273.07004,0.0
44.1239,277.85397,0.0
63.93506,280.0,0.0
83.9238,280.0,0.0
103.91257,280.0,0.0
123.65448,277.5887,0.0
143.16675,273.30356,0.0
162.1966,267.18683,0.0
181.18353,260.93884,0.0
199.80261,253.67896,0.0
217.07806,243.74019,0.0
233.29187,232.08316,0.0
246.23859,216.96904,0.0
256.76984,200.06467,0.0
266.0315,182.37462,0.0
273.15173,163.77698,0.0
277.54248,144.28749,0.0
280.3181,124.50061,0.0
282.23956,104.60458,0.0
283.0,84.65378,0.0
268.77936,71.18622,0.0
255.09387,57.546936,0.0
236.47687,54.0,0.0
220.47076,64.529236,0.0
210.80627,81.79056,0.0
206.0,100.644226,0.0
204.0,120.273834,0.0
201.37476,139.87575,0.0
193.55298,158.17053,0.0
184.9682,176.06354,0.0
174.50214,192.49928,0.0
156.6034,200.0,0.0
137.26233,196.63116,0.0
127.82251,180.28993,0.0
124.0,160.77057,0.0
124.78052,140.8779,0.0
133.87762,123.18356,0.0
146.4414,107.69824,0.0
158.91101,92.08902,0.0
170.11298,75.77402,0.0
178.0,57.53531,0.0
178.0,37.54657,0.0
165.24011,23.560028,0.0
145.41931,22.0,0.0
127.699585,29.440308,0.0
113.2276,42.696564,0.0
101.53204,58.66989,0.0
92.89194,76.43228,0.0
88.46158,95.92282,0.0
86.247345,115.773865,0.0
82.72281,135.38599,0.0
80.963776,155.21742,0.0
73.79843,172.10078,0.0
54.58258,176.0,0.0
39.31308,165.46962,0.0
32.00659,147.0264,0.0
28.0,128.16086,0.0
27.0,108.40817,0.0
31.142212,89.28668,0.0
44.0,75.343506,0.0
52.94156,59.05844,0.0
70.25305,49.582306,0.0
87.431244,40.045837,0.0
104.50519,29.696869,0.0
121.66791,19.554749,0.0
137.97632,8.50592,0.0
156.22675,0.69332886,0.0
174.80542,-6.40271,0.0
192.81598,-14.877319,0.0
211.41986,-21.483978,0.0
230.79053,-26.0,0.0
250.49231,-28.898468,0.0
270.0147,-33.004913,0.0
286.11096,-43.63867,0.0
295.0783,-61.39154,0.0
297.0,-81.19,0.0
291.2038,-99.694305,0.0
280.1966,-115.80344,0.0
264.06293,-122.93707,0.0
249.77118,-136.22882,0.0
235.68933,-150.20709,0.0
220.5888,-162.61676,0.0
207.57135,-177.42865,0.0
192.28406,-190.03693,0.0
175.6203,-200.79321,0.0
157.30585,-208.5647,0.0
138.80829,-216.05475,0.0
119.77472,-222.07507,0.0
100.16324,-225.72961,0.0
80.336334,-228.0,0.0
60.347565,-228.0,0.0
42.445282,-220.46716,0.0
26.542969,-208.72394,0.0
14.96225,-192.9245,0.0
10.0,-173.80743,0.0
12.82373,-154.52887,0.0
24.28949,-138.71051,0.0
41.285034,-131.0,0.0
61.273804,-131.0,0.0
80.8642,-133.0,0.0
100.85297,-133.0,0.0
120.841736,-133.0,0.0
140.57715,-130.80762,0.0
160.13092,-127.17383,0.0
178.77344,-120.27234,0.0
197.39868,-113.20044,0.0
215.30817,-104.691864,0.0
212.13092,-87.26184,0.0
201.53656,-70.80484,0.0
184.78894,-60.52594,0.0
165.33685,-56.267365,0.0
146.21973,-51.203278,0.0
126.661865,-47.932373,0.0
107.23334,-44.0,0.0
87.24457,-44.0,0.0
67.2558,-44.0,0.0
47.56012,-45.71994,0.0
29.123383,-52.80426,0.0
10.484436,-59.757782,0.0
-8.5260315,-65.6315,0.0
-28.381409,-67.06357,0.0
-48.292664,-68.0,0.0
-68.23712,-67.55258,0.0
-85.38599,-58.307007,0.0
-94.937256,-41.250977,0.0
-98.0,-21.756775,0.0
-92.37509,-4.125244,0.0
-75.497925,2.0,0.0
-56.829834,-2.085083,0.0
-41.94684,-14.053162,0.0
-27.962402,-27.018799,0.0
-9.238007,-33.0,0.0
7.4195557,-29.160858,0.0
10.0,-13.551758,0.0
